period,bulk_capesize_182k_nb_usdm,bulk_panamax_76k_nb_usdm,bulk_ultramax_63k_nb_usdm,bulk_handysize_28k_nb_usdm,bulk_handysize_40k_nb_usdm,scrap_fareast_capesize_usdldt,scrap_india_capesize_usdldt,scrap_fareast_handysize_usdldt,scrap_india_handymax_usdldt,bulk_capesize_scrap_usdm,bulk_panamax_scrap_usdm,bulk_handysize_scrap_usdm,bulk_capesize_180k_5yr_usdm,bulk_capesize_182k_10yr_usdm,bulk_panamax_76k_5yr_usdm,bulk_kamsarmax_82k_10yr_usdm,bulk_supramax_58k_5yr_usdm,bulk_ultramax_61k_10yr_usdm,bulk_handysize_38k_5yr_usdm,bulk_handysize_37k_10yr_usdm,bulk_capesize_177k_20yr_usdm,bulk_capesize_180k_15yr_usdm,bulk_kamsarmax_82k_15yr_usdm,bulk_panamax_76k_20yr_usdm,bulk_supramax_56k_3yr_usdm,bulk_supramax_56k_15yr_usdm,bulk_supramax_56k_20yr_usdm,bulk_handysize_33k_15yr_usdm,bulk_handysize_32k_20yr_usdm,bulk_capesize_orderbook_no,scrap_bangladesh_capesize_usdldt,scrap_bangladesh_handymax_usdldt,bulk_capesize_182k_resale_usdm,bulk_panamax_76k_resale_usdm,bulk_ultramax_63k_resale_usdm,bulk_handysize_40k_resale_usdm,bulk_capesize_120k_nb_usdm,bulk_panamax_95k_nb_usdm,bulk_kamsarmax_82k_nb_usdm,bulk_handymax_scrap_usdm,bulk_kamsarmax_82k_resale_usdm,bulk_capesize_orderbook_pct,bulk_newcastlemax_210k_nb_usdm,bulk_capesize_hist_5yr_usdm,bulk_kamsarmax_82k_5yr_usdm,bulk_ultramax_63k_5yr_usdm,scrap_bangladesh_panamax_usdldt,scrap_india_panamax_usdldt,scrap_pakistan_capesize_usdldt,scrap_pakistan_handymax_usdldt,scrap_pakistan_panamax_usdldt,bulk_newcastlemax_210k_resale_usdm,bulk_panamax_hist_5yr_usdm,bulk_handymax_hist_5yr_usdm,bulk_newcastlemax_208k_10yr_usdm
Q1-1976,,14.5,,10,11.25,,,,,,,,,,8.5,,,,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,
Q2-1976,,14.5,,9,10.75,,,,,,,,,,9,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
Q3-1976,,14.5,,9.1,10.6,,,,,,,,,,9,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
Q4-1976,,13.5,,9,10.6,,,,,,,,,,9,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
Q1-1977,,14.3,,9.8,11.3,,,,,,,,,,7.5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,
Q2-1977,,14.8,,9.75,12,,,,,,,,,,7.2,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,
Q3-1977,,14.8,,9.75,12,,,,,,,,,,6.75,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75,,
Q4-1977,,15.6,,10.1,12.3,,,,,,,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
Q1-1978,,15.8,,10.2,11.6,,,,,,,,,,5,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Q2-1978,,17.5,,11.4,13.1,,,,,,,,,,6.5,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,
Q3-1978,,21.25,,14.3,16.5,,,,,,,,,,7.25,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.25,,
Q4-1978,,18,,13,15.5,,,,,,,,,,11.5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,
Q1-1979,,18.5,,13,15.5,,,,,,,,,,12,,,,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
Q2-1979,,20,,13.25,16,,,,,,,,,,16,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,16,,
Q3-1979,,23.5,,15.5,17,,,,,,,,,,16.5,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,16.5,,
Q4-1979,,22.5,,14.5,16,,,,,,,,,,16.5,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,16.5,,
Q1-1980,,23.5,,15,17.5,,,,,,,,,,17,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,17,,
Q2-1980,,27,,17,19.5,,,,,,,,,,18,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,18,,
Q3-1980,,26,,18.5,20,,,,,,,,,,20,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,20,,
Q4-1980,,28,,18.5,21,,,,,,,,,,22,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,22,,
Q1-1981,,29.5,,18.5,22.75,,,,,,,,,,22,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,22,,
Q2-1981,,26.5,,17.5,21,,,,,,,,,,20,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,20,,
Q3-1981,,26.5,,17.5,21,,,,,,,,,,15,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,15,,
Q4-1981,,25.5,,16.5,20.5,,,,,,,,,,12,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,12,,
Q1-1982,,25,,16,19,,,,,,,,,,12,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,12,,
Q2-1982,,24,,15,18,,,,,,,,,,10,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,10,,
Q3-1982,,19,,12,14.5,,,,,,,,,,9.5,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,9.5,,
Q4-1982,,18.5,,12,14,,,,,,,,,,7,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,7,,
Q1-1983,,17.5,,12,13.75,,,,,,,,,,7,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,7,,
Q2-1983,,19,,13,14.8,,,,,,,,,,9,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,9,,
Q3-1983,,19,,13,14.5,,,,,,,,,,8.5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,9.25,,,,,,,,,8.5,,
Q4-1983,,17.5,,12.25,13.5,,,,,,,,,,8.5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,8.5,,
Q1-1984,,17.5,,11.5,13.5,,,,,,,,,,10,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,10,,
Q2-1984,,17.5,,11.5,13.5,,,,,,,,,,9,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,9,,
Q3-1984,,16.5,,11,12.5,,,,,,,,,,9,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,9,,
Q4-1984,,15.5,,11,12,,,,,,,,,,8.5,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,8.5,,
Q1-1985,,15,,10,11.5,,,,,,,,,,8.4,,,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,8.4,,
Q2-1985,,14,,9.75,10.5,,,,,,,,,,7.5,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,7.5,,
Q3-1985,,13.5,,9.75,10.5,,,,,,,,,,6.3,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,12.25,,,,,,,,,6.3,,
Q4-1985,,13.5,,9.75,10.5,,,,,,,,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,6,,
Q1-1986,,13.5,11.5,9.75,10.5,,,,,,,,,,5.5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,5.5,,
Q2-1986,27,16,14,11,12.5,,,,,,,,13.75,,6.1,,4.7,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,13.75,,,,,,,,,6.1,4.7,
Q3-1986,29,17.5,15,11.5,13,,,,,,,,15,,6.7,,5.5,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,6.7,5.5,
Q4-1986,29,16.5,14.5,11,12.5,,,,,,,,15.2,,7.7,,6.35,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,7.7,6.35,
Q1-1987,27,17.5,15,11.5,13,,,,,,,,17,,9.25,,7.2,,4.75,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,9.25,7.2,
Q2-1987,30,18,15,11.5,13,,,,,,,,23,,10.5,,8.5,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,10.5,8.5,
Q3-1987,32,19,17,13,14.5,,,,,,,,24.5,,11.8,,9.3,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,,,11.8,9.3,
Q4-1987,37.5,20,18.5,14.5,16,,,,,,,,25,,12.8,,11.4,,7,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,12.8,11.4,
Q1-1988,37.5,22,19,15,16.5,,,,,,,,30,,14.5,,12.5,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,14.5,12.5,
Q2-1988,40,23,20,15.5,17,,,,,,,,30,,16.5,,14,,10.25,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,16.5,14,
Q3-1988,40,23,20,15.5,17,,,,,,,,33,,16.5,,15,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,16.5,15,
Q4-1988,42,25,23,18.5,20,,,,,,,,35,,17.2,,15.5,,12.35,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,17.2,15.5,
Q1-1989,43,26,24,20,21.5,,,,,,,,37,,19.25,,17.5,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,19.25,17.5,
Q2-1989,46,26.5,24,20,22,,,,,,,,38.5,,21,,18.2,,14,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,21,18.2,
Q3-1989,46,26.5,24,20,22,,,,,,,,38.5,,22.5,,18.75,,14.25,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,22.5,18.75,
Q4-1989,50,27.5,24,20,22,,,,,,,,39,,23,,19,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,23,19,
Q1-1990,57.5,27.5,25,21,23,,,,,5.2,3.354,,39,,23,,18.5,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,23,18.5,
Q2-1990,57.5,27.5,25,21,23,,,,,5.2,3.354,,36,,20.5,,18,,13.75,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,20.5,18,
Q3-1990,60,30,25,21,23,,,,,4.5,2.9025,,34,,18.5,,17.25,,11.75,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,18.5,17.25,
Q4-1990,60,30,25,21,23,,,,,3.8,2.451,,33,,19,,16,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,19,16,
Q1-1991,55,30,25,21,23,,,,,3.8,2.451,,34.5,,18.5,,16,,10.25,,,,,,,,,,,,,,,,,,,,,,,,,34.5,,,,,,,,,18.5,16,
Q2-1991,53,30,25,21,23,,,,,3.6,2.322,,41,,21.5,,17.75,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,21.5,17.75,
Q3-1991,53,33,27,22,24,,,,,3.4,2.193,,43,,24.25,,19,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,24.25,19,
Q4-1991,56,34,28,22,24,,,,160,3.2,2.064,1.28,42,,24,,19.5,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,24,19.5,
Q1-1992,49,31,27,21,26,,,,170,3.4,2.193,1.36,42,,21,,18,,12,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,21,18,
Q2-1992,48,29,25,20,24,,,,160,3.2,2.064,1.28,39,,22.5,,18.2,,12,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,22.5,18.2,
Q3-1992,45,28,24,20,23,,,,155,3.1,1.9995,1.24,37,,18.5,,17,,12,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,18.5,17,
Q4-1992,44,28,24,20,23,,,,150,3,1.935,1.2,34,,18.75,,17,,14,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,18.75,17,
Q1-1993,42.5,27,24,20,22,,,,155,3.1,1.9995,1.24,33,,21,,18.5,,15.25,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,21,18.5,
Q2-1993,49,29,25,21,23,,,,163,3.26,2.1027,1.304,38.5,,21.75,,19,,16,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,21.75,19,
Q3-1993,49.5,29.5,25,21,23,,,,165,3.3,2.1285,1.32,38.5,,22.5,,19,,15.75,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,22.5,19,
Q4-1993,46,28.5,25,21,23,,,,160,3.2,2.064,1.28,38.5,21,19.5,14.5,18,,15,10.5,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,19.5,18,
Q1-1994,41,26.5,23.5,19,22,,,,157,3.14,2.0253,1.256,33.25,18.25,19,14,18.25,14.5,14,10.15,,,,,,,,,,,,,,,,,,,,,,,,33.25,,,,,,,,,19,18.25,
Q2-1994,42,27.5,23.5,19,22,,,,160,3.2,2.064,1.28,35.58333,19.5,19.5,14.5,19.25,14.7,16,11.5,,,,,,,,,,,,,,,,,,,,,,,,35.58333,,,,,,,,,19.5,19.25,
Q3-1994,41,27,23.5,18.5,21,,,,172,3.44,2.2188,1.376,35.58333,19.5,20,15,20,15.25,15.5,11.15,,,,,,,,,,,,,,,,,,,,,,,,35.58333,,,,,,,,,20,20,
Q4-1994,42,28,24,19,21.5,,,,185,3.7,2.3865,1.48,37.33333,20.5,21,15.75,20.5,15.75,16,11.5,,,,,,,,,,,,,,,,,,,,,,,,37.33333,,,,,,,,,21,20.5,
Q1-1995,42.5,28.5,25,19.5,22,,,,176,3.52,2.2704,1.408,37.91667,21,22.5,17.2,21,16.5,16,11.5,,,,,,,,,,,,,,,,,,,,,,,,37.91667,,,,,,,,,22.5,21,
Q2-1995,43,29,25.5,20,22.5,,,,170,3.4,2.193,1.36,36.16667,21,22.5,17.2,21,16.75,16,11.5,,,,,,,,,,,,,,,,,,,,,,,,36.16667,,,,,,,,,22.5,21,
Q3-1995,42.5,28.5,24,19.5,22,,,,180,3.6,2.322,1.44,32.66667,19,22,17,20.5,16,16.5,12,,,,,,,,,,,,,,,,,,,,,,,,32.66667,,,,,,,,,22,20.5,
Q4-1995,42.5,28.5,24,19.5,22,150,160,145,165,3.2,2.064,1.32,32.66667,19,21.5,16.5,21,15.5,16.5,12.75,,,,,,,,,,,,,,,,,,,,,,,,32.66667,,,,160,,,,,21.5,21,
Q1-1996,41,27,23.5,19.5,22,146,187,144,189,3.74,2.4123,1.512,31,17.5,19.5,15.75,19.5,15,15.5,12.5,,,,,,,,,,87,,,,,,,,,,,,21.047,,31,,,,187,,,,,19.5,19.5,
Q2-1996,40,27,23.5,19.5,22,155,194,152,191,3.88,2.5026,1.528,29.75,16.5,20,15.5,20,14.75,14.75,12.5,,,,,,,,,,77,,,,,,,,,,,,18.758,,29.75,,,,194,,,,,20,20,
