period,tanker_ulcc_350k_hist_usdm,tanker_vlcc_300k_5yr_usdm,tanker_vlcc_300k_10yr_usdm,tanker_vlcc_250k_hist_usdm,tanker_suezmax_160k_5yr_usdm,tanker_suezmax_158k_10yr_usdm,tanker_suezmax_140k_hist_usdm,tanker_aframax_85k_hist_usdm,tanker_panamax_60k_hist_usdm,tanker_aframax_115k_5yr_usdm,tanker_aframax_115k_10yr_usdm,tanker_aframax_86k_15yr_usdm,tanker_handy_38k_5yr_usdm,tanker_handy_38k_10yr_usdm,tanker_products_40k_5yr_usdm,tanker_products_40k_hist_usdm,tanker_products_30k_hist_usdm,index_bulk_tanker_5yr,ratio_bulk_5yr_nb,tanker_vlcc_250k_10yr_usdm,tanker_aframax_97k_20yr_usdm,tanker_lr1_75k_10yr_usdm,tanker_panamax_70k_15yr_usdm,tanker_panamax_65k_20yr_usdm,tanker_mr_51k_5yr_usdm,tanker_mr_50k_10yr_usdm,tanker_mr_50k_15yr_usdm,tanker_lr1_75k_5yr_usdm,tanker_aframax_86k_10yr_usdm,tanker_vlcc_265k_15yr_usdm,tanker_vlcc_300k_resale_usdm,tanker_suezmax_160k_resale_usdm,tanker_aframax_115k_resale_usdm,tanker_suezmax_150k_15yr_usdm,tanker_mr_51k_resale_usdm,tanker_suezmax_158k_15yr_usdm,tanker_aframax_115k_15yr_usdm,tanker_handy_38k_resale_usdm,tanker_lr1_75k_resale_usdm,tanker_lr1_75k_15yr_usdm,tanker_vlcc_300k_15yr_usdm,tanker_handy_37k_15yr_usdm,tanker_lr2_115k_5yr_usdm,tanker_lr2_115k_resale_usdm,tanker_aframax_hist_10yr_usdm,tanker_lr2_115k_10yr_usdm,tanker_lr2_115k_15yr_usdm
Q1-1976,,12.0,,,,,,,,8.0,,,6.5,,,,,45.92535,34.87357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1976,,14.0,,,,,,,,6.5,,,7.0,,,,,47.56379,38.54251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1976,,15.0,,,,,,,,7.75,,,7.0,,,,,48.47335,38.58764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1976,,15.0,,,,,,,,8.5,,,8.0,,,,,49.35565,37.55697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1977,,15.0,,,,,,,,9.0,,,8.0,,,,,46.71424,31.21756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1977,,18.0,,,,,,,,8.5,,,7.5,,,,,44.43157,28.21346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1977,,18.0,,,,,,,,7.0,,,9.0,,,,,44.46183,25.91702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1977,,16.0,,,,,,,,6.75,,,9.0,,,,,43.14624,24.06611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1978,,13.0,,,,,,,,6.75,,,8.5,,,,,38.70908,20.80965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1978,,12.0,,,,,,,,6.25,,,9.5,,,,,42.42493,21.2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1978,,10.0,,,,,,,,7.75,,,8.0,,,,,42.04814,18.66742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1978,,10.0,,,,,,,,9.5,,,12.0,,,,,57.46097,27.5905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1979,,15.0,,,,,,,,11.0,,,14.0,,,,,66.81025,31.18697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1979,,18.0,,,,,,,,13.5,,,16.0,,,,,93.19316,54.65519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1979,,20.0,,,,,,,,17.5,,,13.0,,,,,93.22199,50.86574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1979,,24.0,,,,,,,,20.0,,,14.0,,,,,97.24176,53.09944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1980,,28.0,,,,,,,,20.0,,,15.0,,,,,100.35354,50.63263,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1980,,30.0,,,,,,,,17.0,,,15.0,,,,,105.50744,50.11727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1980,,27.0,,,,,,,,15.5,,,16.0,,,,,105.25143,48.84334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1980,,25.0,,,,,,,,16.0,,,18.0,,,,,112.67726,50.26525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1981,,20.0,,,18.5,,,,,15.5,,,16.75,,,,,119.05779,50.46958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1981,,20.0,,,13.0,,,,,15.5,,,14.5,,,,,107.12846,49.49264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1981,,14.0,,,10.75,,,,,14.0,,,13.0,,,,,93.11337,42.89909,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1981,,14.0,,7.25,10.5,,13.0,,,13.5,,,9.5,,,,9.5,75.5481,35.56499,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1982,7.0,12.0,,5.75,10.0,,10.0,,20.5,13.0,,,11.0,,,,8.0,75.35904,35.45858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1982,5.5,8.0,,4.5,8.0,,7.5,,20.0,11.0,,,11.5,,,,8.0,65.8126,30.35601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1982,5.5,8.0,,4.5,9.5,,7.5,,17.0,11.0,,,11.5,,,,7.0,66.7785,37.65892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1982,4.5,6.0,,3.5,7.0,,7.0,,14.0,11.0,,,10.0,,,,7.0,53.51732,28.41035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1983,4.5,4.9,,3.5,6.0,,6.5,,13.0,11.0,,,10.0,,,,7.0,59.93805,37.66177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1983,4.5,4.0,,3.5,9.0,,7.0,,13.0,12.0,,,11.0,,,,7.5,66.31023,37.86365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1983,5.5,6.25,,4.75,11.0,,9.5,,13.0,14.0,,,13.0,,,,8.5,69.16508,34.7197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1983,6.0,6.25,,5.0,11.0,,9.5,,15.0,13.0,,,12.0,,,,8.5,67.34681,38.00905,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1984,6.0,7.0,,4.75,10.0,,8.0,,14.0,13.0,,,12.0,,,,7.5,70.2582,43.09789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1984,10.0,8.25,,8.0,10.5,,8.0,,12.0,12.5,,,11.0,,,,7.0,66.19185,40.20513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1984,6.5,11.0,,5.0,11.5,,8.0,,11.5,12.5,,,9.0,,,,7.0,62.13035,40.83541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1984,6.0,12.0,,4.75,10.5,,7.0,,10.5,12.5,,,8.0,,,,6.0,58.24186,39.70688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1985,5.5,12.0,,4.75,9.0,,5.5,,7.75,12.0,,,9.0,,,,4.75,57.04209,38.93863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1985,5.0,10.0,,4.0,8.5,,5.0,,7.0,11.5,,,9.5,,,,4.5,54.09972,36.56707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1985,4.5,10.0,,3.5,8.5,,5.0,,6.0,10.0,,,6.5,,,,3.5,44.39757,32.22341,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1985,6.5,10.0,,5.0,9.25,,5.0,,6.5,8.0,,,7.0,,,,4.5,45.24674,33.4086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1986,6.5,12.0,,5.5,9.0,,6.5,,7.0,10.25,,,6.0,,,,4.5,41.09254,26.70207,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1986,10.0,15.0,,10.0,13.0,,8.5,,10.0,12.0,,,10.0,,,,5.5,58.91401,32.33945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1986,13.0,19.5,,10.5,14.5,,9.0,,10.5,12.5,,,11.0,,,,6.5,65.9505,34.56307,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1986,12.0,27.0,,8.5,20.0,,9.5,,10.5,12.0,,,11.5,,,,6.25,73.06025,39.41685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1987,11.0,30.0,,7.75,20.0,,8.0,,10.0,12.5,,,11.5,,,,6.0,82.74779,48.7177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
