period,container_feeder_4k5_nb_usdm,container_feeder_1k2_nb_usdm,container_feeder_3k_nb_v2_usdm,container_feeder_2k_nb_usdm,container_feeder_1k8_nb_usdm,container_feeder_750_nb_usdm,container_feeder_300_nb_usdm,container_feeder_400_nb_usdm,container_feeder_1k6_nb_usdm,container_panamax_9k_nb_usdm,container_subpanamax_5k_nb_usdm,container_feeder_1k_10yr_usdm,container_feeder_1k_15yr_usdm,container_feeder_3k6_15yr_usdm,container_large_14k_nb_usdm,container_postpanamax_11k_nb_usdm,container_subpanamax_6k_nb_usdm,container_subpanamax_7k_5yr_usdm,container_feeder_3k8_resale_usdm,container_subpanamax_5k5_resale_usdm,container_subpanamax_7k_resale_usdm,container_panamax_9k2_resale_usdm,container_feeder_4k_nb_usdm,container_feeder_4k5_15yr_usdm,container_feeder_2k5_nb_usdm,container_ulcv_24k_nb_usdm,container_large_16k_nb_usdm,container_subpanamax_7k_10yr_usdm,container_large_13k5_5yr_usdm,container_feeder_3k8_5yr_usdm,container_subpanamax_5k5_5yr_usdm,container_subpanamax_7k_15yr_usdm,container_panamax_8k8_10yr_usdm,container_subpanamax_5k1_15yr_usdm,container_postpanamax_11k5_5yr_usdm,container_postpanamax_11k5_resale_usdm,container_panamax_9k2_5yr_usdm,container_large_15k_nb_usdm,container_panamax_8k8_15yr_usdm,container_large_14k_nb_v2_usdm,container_large_13k5_10yr_usdm,container_ulcv_24k_nb_conv_usdm,container_ulcv_24k_nb_methanol_usdm,container_ulcv_24k_nb_lng_usdm,container_large_15k_nb_conv_usdm,container_large_15k_nb_methanol_usdm,container_large_15k_nb_lng_usdm,container_large_14k_nb_conv_usdm,container_large_14k_nb_methanol_usdm,container_large_14k_nb_lng_usdm,container_postpanamax_11k_nb_conv_usdm,container_postpanamax_11k_nb_methanol_usdm,container_postpanamax_11k_nb_lng_usdm,container_panamax_9k_nb_conv_usdm,container_panamax_9k_nb_methanol_usdm,container_panamax_9k_nb_lng_usdm,container_feeder_3k8_10yr_usdm,container_subpanamax_5k5_10yr_usdm,container_panamax_9k2_10yr_usdm,container_postpanamax_10k_15yr_usdm,container_postpanamax_11k5_10yr_usdm,container_large_13k5_resale_usdm,container_large_13k5_15yr_usdm,container_large_15k5_5yr_usdm,container_large_15k5_10yr_usdm,container_feeder_3k_nb_usdm
Q4-1979,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1980,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1980,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1980,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1980,,,,,,,,11.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1981,,,,,,,,11.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1981,,,,,,,,11.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1981,,,,,,,,11.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1981,,,,,,,,11.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1982,,,,,,,,11.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1982,,,,,,,,11.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1982,,,,,,,,11.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1982,,,,,,,,9.5,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1983,,,,,,,,9.5,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1983,,,,,,,,9.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1983,,,,,,,,9.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1983,,,,,,,,9.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1984,,,,,,,,10.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1984,,,,,,,,10.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1984,,,,,,,,9.8,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1984,,,,,,,,9.8,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1985,,,,,,,,9.5,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1985,,,,,,,,8.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1985,,,,,,,,8.0,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1985,,,,,,,,8.0,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1986,,,,,,,,8.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1986,,,,,,,,8.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1986,,,,,,,,9.2,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
