period,gas_lng_147k_nb_usdm,index_gas_nb,gas_lng_160k_nb_usdm,index_gas_nb_yoy_pct,gas_lng_174k_nb_usdm,gas_lng_hist_nb_usdm,gas_lng_160k_5yr_usdm,gas_lng_145k_10yr_usdm,gas_lng_145k_15yr_usdm,gas_lng_160k_10yr_usdm,gas_lng_174k_5yr_usdm
Jan-1980,,140.47068,,,,,,,,,
Feb-1980,,140.47068,,,,,,,,,
Mar-1980,,141.92342,,,,,,,,,
Apr-1980,,142.18284,,,,,,,,,
May-1980,,142.83472,,,,,,,,,
Jun-1980,,144.28746,,,,,,,,,
Jul-1980,,144.28746,,,,,,,,,
Aug-1980,,144.6134,,,,,,,,,
Sep-1980,,144.87282,,,,,,,,,
Oct-1980,,146.32556,,,,,,,,,
Nov-1980,,146.32556,,,,,,,,,
Dec-1980,,146.32556,,,,,,,,,
Jan-1981,,146.32556,,4.16805,,,,,,,
Feb-1981,,150.54944,,7.17499,,,,,,,
Mar-1981,,150.54944,,6.07793,,,,,,,
Apr-1981,,150.54944,,5.88439,,,,,,,
May-1981,,150.54944,,5.40115,,,,,,,
Jun-1981,,150.54944,,4.33993,,,,,,,
Jul-1981,,150.54944,,4.33993,,,,,,,
Aug-1981,,141.3966,,-2.22441,,,,,,,
Sep-1981,,141.3966,,-2.39949,,,,,,,
Oct-1981,,141.3966,,-3.36849,,,,,,,
Nov-1981,,141.3966,,-3.36849,,,,,,,
Dec-1981,,141.3966,,-3.36849,,,,,,,
Jan-1982,,141.3966,,-3.36849,,,,,,,
Feb-1982,,141.3966,,-6.07962,,,,,,,
Mar-1982,,141.3966,,-6.07962,,,,,,,
Apr-1982,,141.3966,,-6.07962,,,,,,,
May-1982,,141.3966,,-6.07962,,,,,,,
Jun-1982,,137.17273,,-8.88526,,,,,,,
Jul-1982,,137.17273,,-8.88526,,,,,,,
Aug-1982,,132.62292,,-6.20502,,,,,,,
Sep-1982,,124.78182,,-11.75048,,,,,,,
Oct-1982,,124.78182,,-11.75048,,,,,,,
Nov-1982,,115.87378,,-18.05053,,,,,,,
