period,tc_tanker_handy_37k_3yr_usdday,tc_tanker_mr_48k_3yr_usdday,tc_bulk_handymax_45k_1yr_usdday,tc_bulk_handymax_45k_3yr_usdday,tc_tanker_suezmax_150k_1yr_usdday,tc_tanker_handy_37k_1yr_usdday,tc_tanker_mr_48k_1yr_usdday,tc_bulk_supramax_52k_1yr_usdday,tc_tanker_lr1_74k_1yr_usdday,tc_tanker_suezmax_150k_3yr_usdday,tc_bulk_supramax_52k_3yr_usdday,tc_tanker_lr1_74k_3yr_usdday,tc_tanker_mr_48k_5yr_usdday,tc_tanker_handy_37k_5yr_usdday,tc_tanker_lr2_115k_1yr_usdday,tc_tanker_lr2_115k_3yr_usdday,tc_bulk_supramax_58k_3yr_pac_usdday,tc_bulk_supramax_58k_5yr_pac_usdday,tc_bulk_capesize_hist_1yr_usdday,tc_bulk_supramax_hist_1yr_usdday,tc_bulk_panamax_hist_1yr_usdday,tc_tanker_suezmax_hist_1yr_usdday,tc_tanker_mr_hist_1yr_usdday,tc_tanker_mr_50k_eco_1yr_usdday,tc_tanker_mr_50k_eco_3yr_usdday,tc_tanker_mr_50k_eco_5yr_usdday,tc_bulk_ultramax_61k_3yr_pac_usdday,tc_bulk_ultramax_61k_5yr_pac_usdday,tc_tanker_suezmax_150k_eco_1yr_usdday,tc_tanker_lr2_115k_eco_1yr_usdday,tc_tanker_lr1_74k_eco_1yr_usdday,tc_tanker_suezmax_150k_eco_3yr_usdday,tc_tanker_lr2_115k_eco_3yr_usdday,tc_tanker_lr1_74k_eco_3yr_usdday,tc_tanker_lr2_115k_eco_scrubber_1yr_usdday,tc_tanker_lr2_115k_scrubber_1yr_usdday,tc_tanker_suezmax_150k_eco_scrubber_3yr_usdday,tc_tanker_suezmax_150k_scrubber_3yr_usdday,tc_tanker_lr2_115k_eco_scrubber_3yr_usdday,tc_tanker_lr2_115k_scrubber_3yr_usdday,tc_tanker_lr1_74k_eco_scrubber_3yr_usdday,tc_tanker_lr1_74k_scrubber_3yr_usdday,tc_tanker_mr_50k_eco_scrubber_3yr_usdday,tc_tanker_mr_48k_scrubber_3yr_usdday,tc_tanker_mr_50k_eco_scrubber_5yr_usdday,tc_tanker_suezmax_150k_eco_scrubber_1yr_usdday,tc_tanker_suezmax_150k_scrubber_1yr_usdday,tc_bulk_ultramax_61k_6m_pac_usdday,tc_bulk_ultramax_61k_6m_atl_usdday,tc_bulk_supramax_58k_6m_pac_usdday,tc_bulk_supramax_58k_6m_atl_usdday,tc_bulk_ultramax_61k_1yr_pac_usdday,tc_bulk_ultramax_61k_1yr_atl_usdday,tc_bulk_supramax_58k_1yr_pac_usdday,tc_bulk_supramax_58k_1yr_atl_usdday,tc_tanker_lr1_74k_scrubber_1yr_usdday,tc_tanker_mr_48k_scrubber_1yr_usdday,tc_tanker_lr1_74k_eco_scrubber_1yr_usdday,tc_tanker_mr_50k_eco_scrubber_1yr_usdday,tc_tanker_suezmax_150k_2yr_usdday,tc_tanker_lr2_115k_2yr_usdday,tc_tanker_lr1_74k_2yr_usdday,tc_tanker_mr_48k_2yr_usdday,tc_tanker_handy_37k_2yr_usdday,tc_tanker_suezmax_150k_eco_2yr_usdday,tc_tanker_lr2_115k_eco_2yr_usdday,tc_tanker_lr1_74k_eco_2yr_usdday,tc_tanker_mr_50k_eco_2yr_usdday,tc_tanker_handy_37k_eco_2yr_usdday,tc_tanker_suezmax_150k_scrubber_2yr_usdday,tc_tanker_lr2_115k_scrubber_2yr_usdday,tc_tanker_lr1_74k_scrubber_2yr_usdday,tc_tanker_mr_48k_scrubber_2yr_usdday,tc_tanker_suezmax_150k_eco_scrubber_2yr_usdday,tc_tanker_lr2_115k_eco_scrubber_2yr_usdday,tc_tanker_lr1_74k_eco_scrubber_2yr_usdday,tc_tanker_mr_50k_eco_scrubber_2yr_usdday,tc_bulk_capesize_170k_1yr_atl_usdday,tc_bulk_capesize_170k_1yr_pac_usdday,tc_bulk_capesize_180k_1yr_atl_usdday,tc_bulk_capesize_180k_1yr_pac_usdday,tc_bulk_capesize_182k_1yr_atl_usdday,tc_bulk_capesize_182k_1yr_pac_usdday,tc_bulk_capesize_180k_scrubber_1yr_atl_usdday,tc_bulk_capesize_180k_scrubber_1yr_pac_usdday,tc_bulk_panamax_76k_1yr_atl_usdday,tc_bulk_panamax_76k_1yr_pac_usdday,tc_bulk_kamsarmax_82k_1yr_atl_usdday,tc_bulk_kamsarmax_82k_1yr_pac_usdday,tc_bulk_capesize_170k_3yr_atl_usdday,tc_bulk_capesize_170k_3yr_pac_usdday,tc_bulk_capesize_180k_3yr_atl_usdday,tc_bulk_capesize_180k_3yr_pac_usdday,tc_bulk_capesize_182k_3yr_atl_usdday,tc_bulk_capesize_182k_3yr_pac_usdday,tc_bulk_panamax_76k_3yr_atl_usdday,tc_bulk_panamax_76k_3yr_pac_usdday,tc_bulk_kamsarmax_82k_3yr_atl_usdday,tc_bulk_kamsarmax_82k_3yr_pac_usdday
Q1-1988,,,,,,,,,,,,,,,,,,,,,,,9058.33333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1988,,,,,,,,,,,,,,,,,,,,,,,8930.76923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1988,,,,,,,,,,,,,,,,,,,,,,,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1988,,,,,,,,,,,,,,,,,,,,,,,9076.92308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1989,,,10496.15385,9896.15385,,,,,,,,,,,,,,,,10496.15385,13557.69231,,9961.53846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1989,,,10557.69231,9734.61538,,,,,,,,,,,,,,,,10557.69231,13173.07692,14944.44444,11000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1989,,,10157.69231,9530.76923,,,,,,,,,,,,,,,,10157.69231,12826.92308,15634.61538,10730.76923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1989,,,10192.30769,9553.84615,,,,,,,,,,,,,,,,10192.30769,12903.84615,15788.46154,10500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1990,,,9984.61538,9500.0,,,,,,,,,,,,,,,,9984.61538,13230.76923,16423.07692,11115.38462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1990,,,9130.76923,9250.0,,,,,,,,,,,,,,,,9130.76923,11257.69231,17000.0,11384.61538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1990,,,8280.76923,8719.23077,,,,,,,,,,,,,,,,8280.76923,9673.07692,17076.92308,11000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1990,,,7730.76923,8500.0,,,,,,,,,,,,,,,,7730.76923,9000.0,16750.0,11730.76923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1991,,,8134.61538,8826.92308,,,,,,,,,,,,,,,,8134.61538,10284.61538,16557.69231,12576.92308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1991,,,9165.38462,9203.84615,,,,,,,,,,,,,,,,9165.38462,11757.69231,16500.0,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1991,,,9984.61538,10026.92308,,,,,,,,,,,,,,,,9984.61538,13019.23077,18038.46154,12692.30769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4-1991,,,10326.92308,10503.84615,,,,,,,,,,,,,,,,10326.92308,13146.15385,18653.84615,11961.53846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1-1992,,,9188.46154,9615.38462,,,,,,,,,,,,,,,18942.30769,9188.46154,11426.92308,17076.92308,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2-1992,,,8376.92308,9238.46154,,,,,,,,,,,,,,,14019.23077,8376.92308,9934.61538,13884.61538,10807.69231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3-1992,,,8288.46154,9196.15385,,,,,,,,,,,,,,,11896.15385,8288.46154,8807.69231,12230.76923,9884.61538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
